Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
230,C220 1,224.180000,-,1.600000,TSQL,103.5,103.5,023,NN,FM,5.00,,"CLAC ARES RPTR CARES Highland Butte (not yet built)",,,
231,C220 2,223.420000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES SIMP Clackamas ARES 1.25 Meter Simplex 1",,,
232,C220 3,223.440000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES SIMP Clackamas ARES 1.25 Meter Simplex 2",,,
233,C220 4,223.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES SIMP Clackamas ARES 1.25 Meter Simplex 3",,,
234,C220 5,223.480000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES SIMP Clackamas ARES 1.25 Meter Simplex 4",,,
235,C220 6,223.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES SIMP Clackamas ARES 1.25 Meter Digital 1",,,
236,C220 7,223.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES SIMP Clackamas ARES 1.25 Meter Digital 2",,,
237,C220 8,223.620000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES SIMP Clackamas ARES 1.25 Meter Digital 3",,,
238,C220 9,224.040000,-,1.600000,TSQL,103.5,103.5,023,NN,FM,5.00,,"CLAC ARES RPTR CARES (location TBD)",,,
239,C22010,224.140000,-,1.600000,TSQL,103.5,103.5,023,NN,FM,5.00,,"CLAC ARES RPTR CARES (location TBD)",,,
240,C220CA,224.200000,-,1.600000,Tone,100.0,88.5,023,NN,FM,5.00,,""CLAC ARES RPTR",,,
241,C220MO,224.300000,-,1.600000,Tone,100.0,88.5,023,NN,FM,5.00,,""CLAC ARES RPTR",,,
242,C220OC,224.340000,-,1.600000,Tone,100.0,88.5,023,NN,FM,5.00,,""CLAC ARES RPTR",,,
246,GREEN,224.180000,-,1.600000,TSQL,103.5,103.5,023,NN,FM,5.00,,"Version Control Channel--Green TBD",,,
