Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,CLAC 1,147.120000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"CLAC ARES RPTR Clackamas Primary Repeater (OEM Monitored) echo",,,
2,CLAC 2,147.140000,+,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,"CLAC ARES RPTR Clackamas Secondary Repeater",,,
3,CLAC 3,146.420000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES SIMP Clackamas Primary Simplex",,,
4,CLAC 4,146.960000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,"CLAC ARES RPTR Clackamas Tertiary Repeater (W7OTV)",,,
5,CLAC 5,444.225000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,"CLAC ARES RPTR Clackamas Secondary Repeater--Mt. Hood--K7RPT",,,
6,CLAC 6,440.250000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,"CLAC ARES RPTR Clackamas Tertiary Repeater (W7OTV)",,,
7,CLAC 7,441.900000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,"CLAC ARES RPTR Repeater Highland Butte",,,
8,CLAC 8,440.125000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,"CLAC ARES RPTR Repeater Crutcher Bench (primarily Hwy. 26 corridor Sandy to Mt. Hood)",,,
9,CLAC 9,145.790000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES Spare",,,
10,CLAC10,444.400000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,"CLAC ARES-Wilsonville-South Saddle Mt.",,,
11,CLAD 1,440.987500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES WinLink RMS Gateway 1",,,
12,CLAD 2,441.037500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES WinLink RMS Gateway 2",,,
13,CLAD 3,441.062500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES WinLink RMS Gateway 3",,,
