Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
201,ORHF 1,1.978000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Oregon Nighttime Net Frequency",,,
202,ORHF 2,3.825000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Oregon Nighttime Net Frequency",,,
203,ORHF 3,3.920000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Beaver State Net--Health and Welfare traffic",,,
204,ORHF 4,3.964000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Oregon ARES Emergency Net",,,
205,ORHF 5,3.980000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Oregon Emergency Net",,,
206,ORHF 6,3.990000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Oregon Weather Net",,,
207,ORHF 7,3.993500,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Oregon NTS Traffic Net--Daily @ 1730",,,
208,ORHF 8,3.993500,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Oregon State Emergency Net Frequency",,,
209,ORHF 9,3.587000,,0.000000,,88.5,88.5,023,NN,CW,5.00,,"Oregon NTS CW Net",,,
210,ORHF 10,5.357000,,0.000000,,88.5,88.5,023,NN,USB,5.00,,"Oregon Daytime Net Frequency",,,
211,ORHF 11,7.248000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Oregon Primary Daytime Net Frequency",,,
212,ORHF 12,7.283500,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Noon Time Net--Health and Welfare traffic",,,
213,ORHF 13,14.290000,,0.000000,,88.5,88.5,023,NN,USB,5.00,,"Clackamas County ARES 20 Meter SSB",,,
214,ORHF 14,28.410000,,0.000000,,88.5,88.5,023,NN,USB,5.00,,"Clackamas County ARES 10 Meter SSB Primary",,,
215,ORHF 15,28.580000,,0.000000,,88.5,88.5,023,NN,USB,5.00,,"Clackamas County ARES 10 Meter SSB Secondary",,,
216,ORHF 16,29.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"Clackamas County ARES 10 Meter FM",,,
217,ORHF 17,3.587500,,0.000000,,88.5,88.5,023,NN,USB,5.00,,"Clackamas County PACTOR III",,,
218,ORHF 18,7.103000,,0.000000,,88.5,88.5,023,NN,USB,5.00,,"Clackamas County PACTOR III",,,
219,ORHF 19,10.148700,,0.000000,,88.5,88.5,023,NN,USB,5.00,,"Clackamas County PACTOR III",,,
220,ORHF 20,14.102700,,0.000000,,88.5,88.5,023,NN,USB,5.00,,"Clackamas County PACTOR III",,,
221,SATERN,3.977700,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Satern Western Regional Net",,,
222,N10CAL,29.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"National 10 Meter FM Call",,,
223,NW LDS,3.815000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"North America/Northwest LDS Emergency Channel",,,
