Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,PR Freq,Tx Power,Skip,Step,Clock Shift,Comment
1,147.12000,147.72000,600 kHz,Plus,FM,CLAC 1,Tone,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES RPTR Clackamas Primary Repeater (OEM ...
2,147.14000,147.74000,600 kHz,Plus,FM,CLAC 2,Tone,107.2 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES RPTR Clackamas Secondary Repeater
3,146.42000,146.42000,,Simplex,FM,CLAC 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES SIMP Clackamas Primary Simplex
4,146.96000,146.36000,600 kHz,Minus,FM,CLAC 4,Tone,127.3 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES RPTR Clackamas Tertiary Repeater (W7O...
5,444.22500,449.22500,5.00 MHz,Plus,FM,CLAC 5,Tone,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES RPTR Clackamas Secondary Repeater--Mt...
6,440.25000,445.25000,5.00 MHz,Plus,FM,CLAC 6,Tone,127.3 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES RPTR Clackamas Tertiary Repeater (W7O...
7,441.90000,446.90000,5.00 MHz,Plus,FM,CLAC 7,Tone,103.5 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES RPTR Repeater Highland Butte
8,440.12500,445.12500,5.00 MHz,Plus,FM,CLAC 8,Tone,103.5 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES RPTR Repeater Crutcher Bench (primari...
9,145.79000,145.79000,,Simplex,FM,CLAC 9,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES Spare
10,444.40000,449.40000,5.00 MHz,Plus,FM,CLAC10,Tone,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES-Wilsonville-South Saddle Mt.
11,440.98750,440.98750,,Simplex,FM,CLAD 1,None,,,1500 Hz,High,Off,12.50 kHz,Off,CLAC ARES WinLink RMS Gateway 1
12,441.03750,441.03750,,Simplex,FM,CLAD 2,None,,,1500 Hz,High,Off,12.50 kHz,Off,CLAC ARES WinLink RMS Gateway 2
13,441.06250,441.06250,,Simplex,FM,CLAD 3,None,,,1500 Hz,High,Off,12.50 kHz,Off,CLAC ARES WinLink RMS Gateway 3
14,441.52500,441.52500,,Simplex,FM,CLAD 4,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES WinLink VARA-FM RMS KD7ZDO-12 located...
15,145.77000,145.77000,,Simplex,FM,CLAD 5,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES--Winlink VARA-FM RMS--KD7ZDO-11 locat...
16,145.57000,145.57000,,Simplex,FM,CLAD 6,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES DIGT--Winlink Packet RMS-- KD7ZDO-10-...
17,145.83000,145.83000,,Simplex,FM,CLAD 7,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES Winlink VARA-FM P-P KD7ZDO-Digipeater...
18,145.75000,145.75000,,Simplex,FM,CFD1 1,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC CERT SIMP - CERT CFD 1
19,431.85000,431.85000,,Simplex,FM,CFD1 2,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC CERT SIMP - CFD 1 CERT Secondary
20,431.82500,431.82500,,Simplex,FM,CLOG 1,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES SIMP-CARES Logistics 1
21,431.87500,431.87500,,Simplex,FM,CLOG 2,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES SIMP-CARES Logistics 2
22,146.54000,146.54000,,Simplex,FM,EAST 1,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC EAST SIMP-Clackamas East County ARES Simplex
23,145.71000,145.71000,,Simplex,FM,EAST 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC EAST Winlink VARA Packet / Tertiary analog...
24,440.27500,445.27500,5.00 MHz,Plus,FM,EVENT1,T Sql,103.5 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES Portable Event Repeater UHF
25,144.65000,145.25000,600 kHz,Plus,FM,EVENT2,T Sql,103.5 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES Portable Event Repeater VHF
26,444.30000,449.30000,5.00 MHz,Plus,FM,LO 1,T Sql,82.5 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC LO--1R--RPTR Lake Oswego ARES Primary Prim...
27,146.50000,146.50000,,Simplex,FM,LO 2,T Sql,82.5 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC LO--2--SIMP Lake Oswego ARES Simplex Secon...
28,145.53000,145.53000,,Simplex,FM,LO 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC LO--3--Winlink VARA-FM Packet Post Office ...
29,431.90000,431.90000,,Simplex,FM,LO 4,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC LO--4--SIMP- Lake Oswego Logistics
30,147.46000,147.46000,,Simplex,FM,LO 5,None,,,1500 Hz,High,Off,5.00 kHz,Off,LO LDS Stake Comm Primary
31,432.62500,432.62500,,Simplex,FM,LO 6,None,,,1500 Hz,High,Off,5.00 kHz,Off,LO LDS Stake Comm Secondary
32,147.50000,147.50000,,Simplex,FM,NOCO 1,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC NORT SIMP Clackamas North County ARES Simp...
33,145.67000,145.67000,,Simplex,FM,NOCO 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC NORT Winlink VARA Packet / Tertiary analog...
34,442.07500,447.07500,5.00 MHz,Plus,FM,OC 1,Tone,103.5 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC OC-- RPTR Oregon City ARES Repeater
35,146.56000,146.56000,,Simplex,FM,OC 2,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC OC-- SIMP Oregon City ARES Simplex
36,145.63000,145.63000,,Simplex,FM,OC 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC OC--Winlink VARA Packet / Tertiary analog ...
37,431.92500,431.92500,,Simplex,FM,OC 4,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC OC-- SIMP-Logistics
38,145.43000,144.83000,600 kHz,Minus,FM,SAND 1,Tone,107.2 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC SOUTH RPTR-- Sandy Repeater (KJ7IY)
39,145.81000,145.81000,,Simplex,FM,SAND 2,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC SOUTH SIMP-Sandy Simplex
40,440.70000,445.70000,5.00 MHz,Plus,FM,MOLA 1,T Sql,77.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC CERT RPTR-Molalla Fire CERT
41,146.58000,146.58000,,Simplex,FM,SOCO 2,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC SOUTH SIMP-Clackamas South County ARES Sim...
42,145.69000,145.69000,,Simplex,FM,SOCO 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC SOUTH--Winlink VARA Packet / Tertiary anal...
43,145.55000,145.55000,,Simplex,FM,WEST 1,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC WEST SIMP-Clackamas West County ARES Simplex
44,146.92000,146.32000,600 kHz,Minus,FM,WEST 2,Tone,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC WEST RPRT--(AH6LE)
45,145.73000,145.73000,,Simplex,FM,WEST 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC WEST--Winlink VARA Packet / Tertiary analo...
46,146.46000,146.46000,,Simplex,FM,WILS 1,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC WEST SIMP Wilsonville Simplex
47,441.87500,446.87500,5.00 MHz,Plus,FM,WILS 2,Tone,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC SOUTH Wilsonville Repeater at Parrett Mt.
48,431.92500,431.92500,,Simplex,FM,WILS 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC WILS 3--SIMP-Wilsonville Logistics
49,146.44000,146.44000,,Simplex,FM,WLIN 1,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC WEST SIMP-West Linn Simplex
