Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,PR Freq,Tx Power,Skip,Step,Clock Shift,Comment
1,147.12000,147.72000,600 kHz,Plus,FM,CLAC 1,Tone,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES RPTR Clackamas Primary--Mt. Hood (OEM...
2,147.14000,147.74000,600 kHz,Plus,FM,CLAC 2,Tone,107.2 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES RPTR Clackamas Secondary--Portland (W...
3,146.42000,146.42000,,Simplex,FM,CLAC 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES SIMP Clackamas Primary
4,146.96000,146.36000,600 kHz,Minus,FM,CLAC 4,Tone,127.3 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES RPTR Clackamas Tertiary (W7OTV)
5,444.22500,449.22500,5.00 MHz,Plus,FM,CLAC 5,Tone,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES RPTR Clackamas Secondary--Mt. Hood (K...
6,440.25000,445.25000,5.00 MHz,Plus,FM,CLAC 6,Tone,127.3 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES RPTR Clackamas Tertiary (W7OTV)
7,441.90000,446.90000,5.00 MHz,Plus,FM,CLAC 7,Tone,103.5 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES RPTR Repeater Highland Butte (KD7ZDO)
8,440.12500,445.12500,5.00 MHz,Plus,FM,CLAC 8,Tone,103.5 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES RPTR Repeater Crutcher Bench (primari...
9,145.79000,145.79000,,Simplex,FM,CLAC 9,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES SIMP Reserve
10,444.40000,449.40000,5.00 MHz,Plus,FM,CLAC10,Tone,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES RPTR-Wilsonville-South Saddle Mt.  (K...
11,146.80000,146.20000,600 kHz,Minus,FM,CLAC11,Tone,107.2 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES RPTR simulcast system--Multi-Site (KJ...
12,440.98750,440.98750,,Simplex,FM,CLAD 1,None,,,1500 Hz,High,Off,12.50 kHz,Off,CLAC ARES WinLink RMS Gateway 1 Reserve
13,441.03750,441.03750,,Simplex,FM,CLAD 2,None,,,1500 Hz,High,Off,12.50 kHz,Off,CLAC ARES WinLink RMS Gateway 2 Reserve
