Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,PR Freq,Tx Power,Skip,Step,Clock Shift,Comment
201,1.97800,1.97800,,Simplex,LSB,ORHF 1,None,,,1500 Hz,High,Off,5.00 kHz,Off,Oregon Nighttime Net Frequency*
202,3.82500,3.82500,,Simplex,LSB,ORHF 2,None,,,1500 Hz,High,Off,5.00 kHz,Off,Oregon Nighttime Net Frequency
203,3.92000,3.92000,,Simplex,LSB,ORHF 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,Beaver State Net--Health and Welfare traffic
204,3.96400,3.96400,,Simplex,LSB,ORHF 4,None,,,1500 Hz,High,Off,5.00 kHz,Off,Oregon ARES Emergency Net*
205,3.97000,3.97000,,Simplex,LSB,ORHF 5,None,,,1500 Hz,High,Off,5.00 kHz,Off,Noontime Net--Health and Welfare traffic @ 1130...
206,3.98000,3.98000,,Simplex,LSB,ORHF 6,None,,,1500 Hz,High,Off,5.00 kHz,Off,Oregon Emergency Net @ 1800
207,3.99000,3.99000,,Simplex,LSB,ORHF 7,None,,,1500 Hz,High,Off,5.00 kHz,Off,Oregon Weather Net
208,3.99350,3.99350,,Simplex,LSB,ORHF 8,None,,,1500 Hz,High,Off,12.50 kHz,Off,Oregon NTS Traffic Net--Daily @ 1730
209,3.99350,3.99350,,Simplex,LSB,ORHF 9,None,,,1500 Hz,High,Off,12.50 kHz,Off,Oregon State Emergency Net Frequency
221,3.97770,3.97770,,Simplex,LSB,SATERN,None,,,1500 Hz,High,Off,12.50 kHz,Off,Satern Western Regional Net
222,29.60000,29.60000,,Simplex,FM,N10CAL,None,,,1500 Hz,High,Off,5.00 kHz,Off,National 10 Meter FM Call
223,3.81500,3.81500,,Simplex,LSB,NW LDS,None,,,1500 Hz,High,Off,5.00 kHz,Off,North America/Northwest LDS Emergency Channel
224,3.96400,3.96400,,Simplex,LSB,PRO80,None,,,1500 Hz,High,Off,5.00 kHz,Off,Providence Hospital Primary 80 meter
225,3.86400,3.86400,,Simplex,LSB,PRO80S,None,,,1500 Hz,High,Off,5.00 kHz,Off,Providence Hospital Secondary 80 meter
226,7.23800,7.23800,,Simplex,LSB,PRO40,None,,,1500 Hz,High,Off,5.00 kHz,Off,Providence Hospital Primary  40 meter
227,7.24800,7.24800,,Simplex,LSB,PRO40S,None,,,1500 Hz,High,Off,5.00 kHz,Off,Providence Hospital Secondary 40 meter
228,1.97800,1.97800,,Simplex,LSB,GREEN,None,,,1500 Hz,High,Off,5.00 kHz,Off,Version Control Channel--Green 2025-05-20
