Communications Resource Availability Worksheet,,,,2 M & 440 band VHF/UHF Phone and Data Modes,,,,"Target Date: May 1, 2025",Denotes Changes from Yellow U1
ICS-217A,,,,Clackamas County ARES,,,,2025 Green               2025-05-09,
Channel,Alias,RX Freq,TX Freq,Offset,Mode,TX Tone,RX Tone,Use,
1,CLAC 1,147.1200,147.7200,0.6,FM,100,,CLAC ARES RPTR Clackamas Primary--Mt. Hood (OEM Monitored) echo (K7RPT),
2,CLAC 2,147.1400,147.7400,0.6,FM,107.2,,CLAC ARES RPTR Clackamas Secondary--Portland (W7AC),
3,CLAC 3,146.4200,146.4200,,FM,,,CLAC ARES SIMP Clackamas Primary,
4,CLAC 4,146.9600,146.3600,-0.6,FM,127.3,,CLAC ARES RPTR Clackamas Tertiary (W7OTV),
5,CLAC 5,444.2250,449.2250,5,FM,100,,CLAC ARES RPTR Clackamas Secondary--Mt. Hood (K7RPT),
6,CLAC 6,440.2500,445.2500,5,FM,127.3,,CLAC ARES RPTR Clackamas Tertiary (W7OTV),
7,CLAC 7,441.9000,446.9000,5,FM,103.5,,CLAC ARES RPTR Repeater Highland Butte (KD7ZDO),
8,CLAC 8,440.1250,445.1250,5,FM,103.5,,CLAC ARES RPTR Repeater Crutcher Bench (primarily Hwy. 26 corridor Sandy to Mt. Hood),
9,CLAC 9,145.7900,145.7900,,FM,,,CLAC ARES SIMP Reserve,
10,CLAC10,444.4000,449.4000,5,FM,100,,CLAC ARES RPTR-Wilsonville-South Saddle Mt.  (K7RPT),
11,CLAC11,146.8000,146.2000,-0.6,FM,107.2,,CLAC ARES RPTR simulcast system--Multi-Site (KJ7IY),Moved from 69
12,CLAD 1,440.9875,440.9875,,FM,,,CLAC ARES WinLink RMS Gateway 1 Reserve,
13,CLAD 2,441.0375,441.0375,,FM,,,CLAC ARES WinLink RMS Gateway 2 Reserve,
14,CLAD 3,441.0625,441.0625,,FM,,,CLAC ARES WinLink RMS Gateway 3 Reserve,
15,CLAD 4,441.5250,441.5250,,FM,,,CLAC ARES WinLink VARA-FM RMS KD7ZDO-12 located at C-EOC,
16,CLAD 5,145.7700,145.7700,,FM,,,CLAC ARES Winlink VARA-FM RMS--KD7ZDO-11 located at C-EOC,
