Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
500,POR15R,462.550000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,5.00,,"GMRS RPTR Portland ARRG Owned",,,
501,ORC16R,462.575000,+,5.000000,TSQL,141.3,141.3,023,NN,FM,5.00,,"GMRS RPTR Oak Lodge CERT",,,
502,ORC16R,462.575000,+,5.000000,TSQL,110.9,110.9,023,NN,FM,5.00,,"GMRS RPTR Oregon City",,,
503,LAK17R,462.600000,+,5.000000,TSQL,123.0,123.0,023,NN,FM,5.00,,"GMRS RPTR Lake Oswego CERT",,,
504,POR18R,462.625000,+,5.000000,TSQL,156.7,156.7,023,NN,FM,5.00,,"GMRS RPTR Portland",,,
505,MOL19R,462.650000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,5.00,,"GMRS RPTR Molalla",,,
506,ORC20R,462.675000,+,5.000000,TSQL,218.1,218.1,023,NN,FM,5.00,,"GMRS RPTR Oregon City",,,
507,GRE21R,462.700000,+,5.000000,TSQL,210.7,210.7,023,NN,FM,5.00,,"GMRS RPTR Gresham",,,
508,MIL21R,462.700000,+,5.000000,TSQL,167.9,167.9,023,NN,FM,5.00,,"GMRS RPTR Milwaukie",,,
509,SHE21R,462.700000,+,5.000000,TSQL,141.3,141.3,023,NN,FM,5.00,,"GMRS RPTR Sherwood",,,
510,WIL22R,462.725000,+,5.000000,TSQL,110.9,110.9,023,NN,FM,5.00,,"GMRS RPTR Wilsonville",,,
511,OAK22R,462.725000,+,5.000000,TSQL,123.0,123.0,023,NN,FM,5.00,,"GMRS RPTR Oak Lodge CERT",,,
512,YELLOW,462.725000,+,5.000000,TSQL,123.0,123.0,023,NN,FM,5.00,,"Version Control Channel--Yellow released 2024-05-01",,,
