Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
201,ORHF 1,1.978000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Oregon Nighttime Net Frequency*",,,
202,ORHF 2,3.825000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Oregon Nighttime Net Frequency",,,
203,ORHF 3,3.920000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Beaver State Net--Health and Welfare traffic",,,
204,ORHF 4,3.964000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Oregon ARES Emergency Net*",,,
205,ORHF 5,3.970000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Noontime Net--Health and Welfare traffic @ 1130--Alternate to 7.2840",,,
206,ORHF 6,3.980000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Oregon Emergency Net @ 1900",,,
207,ORHF 7,3.990000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Oregon Weather Net",,,
208,ORHF 8,3.993500,,0.000000,,88.5,88.5,023,NN,LSB,12.50,,"Oregon NTS Traffic Net--Daily @ 1730",,,
209,ORHF 9,3.993500,,0.000000,,88.5,88.5,023,NN,LSB,12.50,,"Oregon State Emergency Net Frequency",,,
210,ORHF 10,3.587000,,0.000000,,88.5,88.5,023,NN,CW,5.00,,"Oregon NTS CW Net",,,
211,ORHF 11,5.357000,,0.000000,,88.5,88.5,023,NN,USB,5.00,,"Oregon Daytime Net Frequency",,,
212,ORHF 12,7.248000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Oregon Primary Daytime Net Frequency*",,,
213,ORHF 13,7.284000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Noontime Net--Health and Welfare traffic @ 1130",,,
214,ORHF 14,14.290000,,0.000000,,88.5,88.5,023,NN,USB,5.00,,"Clackamas County ARES 20 Meter SSB",,,
215,ORHF 15,28.410000,,0.000000,,88.5,88.5,023,NN,USB,5.00,,"Clackamas County ARES 10 Meter SSB Primary",,,
216,ORHF 16,28.580000,,0.000000,,88.5,88.5,023,NN,USB,5.00,,"Clackamas County ARES 10 Meter SSB Secondary",,,
217,ORHF 17,29.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"Clackamas County ARES 10 Meter FM",,,
218,ORHF 18,3.587500,,0.000000,,88.5,88.5,023,NN,USB,12.50,,""Clackamas County PACTOR III",,,
219,ORHF 19,7.101200,,0.000000,,88.5,88.5,023,NN,USB,12.50,,""Clackamas County PACTOR III",,,
220,ORHF 20,14.108200,,0.000000,,88.5,88.5,023,NN,USB,12.50,,""Clackamas County PACTOR III",,,
221,SATERN,3.977700,,0.000000,,88.5,88.5,023,NN,LSB,12.50,,"Satern Western Regional Net",,,
222,N10CAL,29.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"National 10 Meter FM Call",,,
223,NW LDS,3.815000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"North America/Northwest LDS Emergency Channel",,,
224,PRO80,3.964000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Providence Hospital Primary 80 meter",,,
225,PRO80S,3.864000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Providence Hospital Secondary 80 meter",,,
226,PRO40,7.238000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Providence Hospital Primary  40 meter",,,
227,PRO40S,7.248000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"Providence Hospital Secondary 40 meter",,,
228,YELLU1,1.978000,,0.000000,,88.5,88.5,023,NN,LSB,5.00,,"VC Ch. Yellow U1 rel: 2024-06-10",,,
